date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,13:01,01:01 PM,197.41,197.17,197.17,197.41,197.29,7373,AMZN
2025-04-02,13:00,01:00 PM,197.25,197.05,197.12,197.21,197.15,2633,AMZN
2025-04-02,12:59,12:59 PM,197.15,196.79,196.8,197.12,196.97,3824,AMZN
2025-04-02,12:58,12:58 PM,197.0,196.77,196.87,196.82,196.885,5708,AMZN
2025-04-02,12:57,12:57 PM,196.95,196.76,196.92,196.85,196.855,4572,AMZN
2025-04-02,12:56,12:56 PM,197.26,196.91,197.18,196.96,197.08499999999998,5714,AMZN
2025-04-02,12:55,12:55 PM,197.17,196.9,197.02,197.14,197.035,8910,AMZN
2025-04-02,12:54,12:54 PM,197.26,196.98,197.04,197.03,197.12,7528,AMZN
2025-04-02,12:53,12:53 PM,197.05,196.8,196.84,197.05,196.925,18380,AMZN
2025-04-02,12:52,12:52 PM,197.11,196.75,197.08,196.82,196.93,6399,AMZN
2025-04-02,12:51,12:51 PM,197.22,197.0,197.0,197.0,197.11,4635,AMZN
2025-04-02,12:50,12:50 PM,197.24,196.9,197.01,196.94,197.07,11677,AMZN
2025-04-02,12:49,12:49 PM,197.04,196.69,196.71,196.98,196.865,11066,AMZN
2025-04-02,12:48,12:48 PM,196.71,196.36,196.41,196.69,196.53500000000003,9045,AMZN
2025-04-02,12:47,12:47 PM,196.45,196.02,196.02,196.43,196.235,5200,AMZN
2025-04-02,12:46,12:46 PM,196.24,195.95,196.24,196.0,196.095,6232,AMZN
2025-04-02,12:45,12:45 PM,196.45,196.04,196.07,196.36,196.245,10124,AMZN
2025-04-02,12:44,12:44 PM,196.12,195.85,195.85,196.06,195.985,4899,AMZN
2025-04-02,12:43,12:43 PM,195.87,195.23,195.85,195.82,195.55,11932,AMZN
2025-04-02,12:42,12:42 PM,195.89,195.73,195.84,195.86,195.81,4062,AMZN
2025-04-02,12:41,12:41 PM,195.84,195.57,195.58,195.84,195.70499999999998,3229,AMZN
2025-04-02,12:40,12:40 PM,195.86,195.5,195.83,195.5,195.68,4498,AMZN
2025-04-02,12:39,12:39 PM,195.86,195.49,195.53,195.81,195.675,4660,AMZN
2025-04-02,12:38,12:38 PM,195.66,195.5,195.57,195.59,195.57999999999998,8991,AMZN
2025-04-02,12:37,12:37 PM,195.74,195.6,195.69,195.61,195.67000000000002,5725,AMZN
2025-04-02,12:36,12:36 PM,195.79,195.64,195.77,195.73,195.71499999999997,3630,AMZN
2025-04-02,12:35,12:35 PM,195.91,195.71,195.91,195.74,195.81,4983,AMZN
2025-04-02,12:34,12:34 PM,195.91,195.78,195.78,195.9,195.845,3013,AMZN
2025-04-02,12:33,12:33 PM,196.07,195.78,196.06,195.81,195.925,4727,AMZN
2025-04-02,12:32,12:32 PM,196.2,195.97,196.08,196.1,196.08499999999998,7136,AMZN
2025-04-02,12:31,12:31 PM,196.08,195.73,195.82,196.02,195.905,7358,AMZN
2025-04-02,12:30,12:30 PM,195.85,195.62,195.81,195.75,195.735,7187,AMZN
2025-04-02,12:29,12:29 PM,195.75,195.38,195.39,195.74,195.565,5008,AMZN
2025-04-02,12:28,12:28 PM,195.54,195.35,195.41,195.38,195.445,4295,AMZN
2025-04-02,12:27,12:27 PM,195.52,195.27,195.47,195.36,195.395,5872,AMZN
2025-04-02,12:26,12:26 PM,195.58,195.36,195.48,195.53,195.47000000000003,6609,AMZN
2025-04-02,12:25,12:25 PM,195.84,195.5,195.79,195.52,195.67000000000002,9794,AMZN
2025-04-02,12:24,12:24 PM,195.92,195.65,195.74,195.84,195.785,5637,AMZN
2025-04-02,12:23,12:23 PM,195.78,195.66,195.72,195.7,195.72,8498,AMZN
2025-04-02,12:22,12:22 PM,195.8,195.63,195.69,195.71,195.715,7451,AMZN
2025-04-02,12:21,12:21 PM,196.0,195.68,195.88,195.76,195.84,13033,AMZN
2025-04-02,12:20,12:20 PM,195.89,195.5,195.64,195.88,195.695,13756,AMZN
2025-04-02,12:19,12:19 PM,195.64,195.23,195.33,195.64,195.435,12393,AMZN
2025-04-02,12:18,12:18 PM,195.55,195.25,195.34,195.36,195.4,17463,AMZN
2025-04-02,12:17,12:17 PM,195.31,194.93,194.96,195.31,195.12,13586,AMZN
2025-04-02,12:16,12:16 PM,195.18,194.9,195.1,194.93,195.04000000000002,6851,AMZN
2025-04-02,12:15,12:15 PM,195.2,194.75,194.75,195.1,194.975,7967,AMZN
2025-04-02,12:14,12:14 PM,194.79,194.11,194.67,194.75,194.45,17363,AMZN
2025-04-02,12:13,12:13 PM,194.96,194.44,194.95,194.68,194.7,9841,AMZN
2025-04-02,12:12,12:12 PM,195.05,194.85,194.87,194.93,194.95,9740,AMZN
2025-04-02,12:11,12:11 PM,195.03,194.77,194.94,194.84,194.9,4500,AMZN
2025-04-02,12:10,12:10 PM,194.91,194.43,194.56,194.88,194.67000000000002,6248,AMZN
2025-04-02,12:09,12:09 PM,194.59,194.28,194.41,194.59,194.435,3675,AMZN
2025-04-02,12:08,12:08 PM,194.42,194.0,194.2,194.42,194.20999999999998,5227,AMZN
2025-04-02,12:07,12:07 PM,194.51,194.19,194.33,194.21,194.35,3541,AMZN
2025-04-02,12:06,12:06 PM,194.65,194.37,194.59,194.38,194.51,6761,AMZN
2025-04-02,12:05,12:05 PM,194.76,194.46,194.66,194.53,194.61,9517,AMZN
2025-04-02,12:04,12:04 PM,195.15,194.45,194.68,194.63,194.8,10855,AMZN
2025-04-02,12:03,12:03 PM,194.91,194.39,194.78,194.68,194.64999999999998,8663,AMZN
2025-04-02,12:02,12:02 PM,194.83,194.27,194.34,194.72,194.55,5429,AMZN
2025-04-02,12:01,12:01 PM,194.4,194.0,194.09,194.38,194.2,4324,AMZN
